(-Z=P);0;Given,-(P>V);0;Given,(V+-Q);0;Given,((-Z>P)*(P>-Z));(-Z=P);Equivalence,-(-P+V);-(P>V);Implication,(--P*-V);-(-P+V);DeMorgan's Law,(P*-V);(--P*-V);Double Negation,-V;(P*-V);Simplification,-Q;(V+-Q).-V;Disjunctive Syllogism,(P>-Z);((-Z>P)*(P>-Z));Simplification,P;(P*-V);Simplification,-Z;(P>-Z).P;Modus Ponens,(-Z*-Q);-Q.-Z;Conjunction,-(Z+Q);(-Z*-Q);DeMorgan's Law
(-Z=P);0;Given,-(P>V);0;Given,(V+-Q);0;Given,((-Z>P)*(P>-Z));(-Z=P);Equivalence,-(-P+V);-(P>V);Implication,(--P*-V);-(-P+V);DeMorgan's Law,(P*-V);(--P*-V);Double Negation,P;(P*-V);Simplification,(P>-Z);((-Z>P)*(P>-Z));Simplification,-Z;(P>-Z).P;Modus Ponens,-V;(P*-V);Simplification,-Q;(V+-Q).-V;Disjunctive Syllogism,(-Z*-Q);-Q.-Z;Conjunction,-(Z+Q);(-Z*-Q);DeMorgan's Law
(-Z=P);0;Given,-(P>V);0;Given,(V+-Q);0;Given,((-Z>P)*(P>-Z));(-Z=P);Equivalence,-(-P+V);-(P>V);Implication,(--P*-V);-(-P+V);DeMorgan's Law,(P*-V);(--P*-V);Double Negation,P;(P*-V);Simplification,-V;(P*-V);Simplification,-Q;(V+-Q).-V;Disjunctive Syllogism,(P>-Z);((-Z>P)*(P>-Z));Simplification,-Z;(P>-Z).P;Modus Ponens,(-Z*-Q);-Q.-Z;Conjunction,-(Z+Q);(-Z*-Q);DeMorgan's Law
(-Z=P);0;Given,-(P>V);0;Given,(V+-Q);0;Given,((-Z>P)*(P>-Z));(-Z=P);Equivalence,-(-P+V);-(P>V);Implication,(--P*-V);-(-P+V);DeMorgan's Law,--P;(--P*-V);Simplification,-V;(--P*-V);Simplification,-Q;(V+-Q).-V;Disjunctive Syllogism,(P>-Z);((-Z>P)*(P>-Z));Simplification,P;--P;Double Negation,-Z;(P>-Z).P;Modus Ponens,(-Z*-Q);-Q.-Z;Conjunction,-(Z+Q);(-Z*-Q);DeMorgan's Law
(-Z=P);0;Given,-(P>V);0;Given,(V+-Q);0;Given,((-Z>P)*(P>-Z));(-Z=P);Equivalence,-(-P+V);-(P>V);Implication,(--P*-V);-(-P+V);DeMorgan's Law,(P*-V);(--P*-V);Double Negation,(P>-Z);((-Z>P)*(P>-Z));Simplification,P;(P*-V);Simplification,-Z;(P>-Z).P;Modus Ponens,-V;(P*-V);Simplification,-Q;(V+-Q).-V;Disjunctive Syllogism,(-Z*-Q);-Q.-Z;Conjunction,-(Z+Q);(-Z*-Q);DeMorgan's Law
(-Z=P);0;Given,-(P>V);0;Given,(V+-Q);0;Given,((-Z>P)*(P>-Z));(-Z=P);Equivalence,-(-P+V);-(P>V);Implication,(--P*-V);-(-P+V);DeMorgan's Law,(P*-V);(--P*-V);Double Negation,-V;(P*-V);Simplification,-Q;(V+-Q).-V;Disjunctive Syllogism,P;(P*-V);Simplification,(P>-Z);((-Z>P)*(P>-Z));Simplification,-Z;(P>-Z).P;Modus Ponens,(-Z*-Q);-Q.-Z;Conjunction,-(Z+Q);(-Z*-Q);DeMorgan's Law
(-Z=P);0;Given,-(P>V);0;Given,(V+-Q);0;Given,-(-P+V);-(P>V);Implication,(--P*-V);-(-P+V);DeMorgan's Law,(P*-V);(--P*-V);Double Negation,P;(P*-V);Simplification,-V;(P*-V);Simplification,-Q;(V+-Q).-V;Disjunctive Syllogism,((-Z>P)*(P>-Z));(-Z=P);Equivalence,(P>-Z);((-Z>P)*(P>-Z));Simplification,-Z;(P>-Z).P;Modus Ponens,(-Z*-Q);-Q.-Z;Conjunction,-(Z+Q);(-Z*-Q);DeMorgan's Law
(-Z=P);0;Given,-(P>V);0;Given,(V+-Q);0;Given,((-Z>P)*(P>-Z));(-Z=P);Equivalence,-(-P+V);-(P>V);Implication,(--P*-V);-(-P+V);DeMorgan's Law,--P;(--P*-V);Simplification,P;--P;Double Negation,-V;(--P*-V);Simplification,-Q;(V+-Q).-V;Disjunctive Syllogism,(P>-Z);((-Z>P)*(P>-Z));Simplification,-Z;(P>-Z).P;Modus Ponens,(-Z*-Q);-Q.-Z;Conjunction,-(Z+Q);(-Z*-Q);DeMorgan's Law
(-Z=P);0;Given,-(P>V);0;Given,(V+-Q);0;Given,((-Z>P)*(P>-Z));(-Z=P);Equivalence,(P>-Z);((-Z>P)*(P>-Z));Simplification,-(-P+V);-(P>V);Implication,(--P*-V);-(-P+V);DeMorgan's Law,(P*-V);(--P*-V);Double Negation,P;(P*-V);Simplification,-V;(P*-V);Simplification,-Q;(V+-Q).-V;Disjunctive Syllogism,-Z;(P>-Z).P;Modus Ponens,(-Z*-Q);-Q.-Z;Conjunction,-(Z+Q);(-Z*-Q);DeMorgan's Law
(-Z=P);0;Given,-(P>V);0;Given,(V+-Q);0;Given,((-Z>P)*(P>-Z));(-Z=P);Equivalence,-(-P+V);-(P>V);Implication,(--P*-V);-(-P+V);DeMorgan's Law,(P*-V);(--P*-V);Double Negation,P;(P*-V);Simplification,-V;(P*-V);Simplification,(P>-Z);((-Z>P)*(P>-Z));Simplification,-Z;(P>-Z).P;Modus Ponens,-Q;(V+-Q).-V;Disjunctive Syllogism,(-Z*-Q);-Q.-Z;Conjunction,-(Z+Q);(-Z*-Q);DeMorgan's Law
