(C=-J);0;Given,(C+-N);0;Given,(N>C);0;Given,((C>-J)*(-J>C));(C=-J);Equivalence,(C>-J);((C>-J)*(-J>C));Simplification,(N>-J);(C>-J).(N>C);Hypothetical Syllogism
(C=-J);0;Given,(C+-N);0;Given,(N>C);0;Given,((C>-J)*(-J>C));(C=-J);Equivalence,(C>-J);((C>-J)*(-J>C));Simplification,(-J>C);((C>-J)*(-J>C));Simplification,(N>-J);(C>-J).(N>C);Hypothetical Syllogism
(C=-J);0;Given,(C+-N);0;Given,(N>C);0;Given,((C>-J)*(-J>C));(C=-J);Equivalence,(-C>-N);(C+-N);Implication,(C>-J);((C>-J)*(-J>C));Simplification,(N>-J);(C>-J).(N>C);Hypothetical Syllogism
(C=-J);0;Given,(C+-N);0;Given,(N>C);0;Given,(-C>-N);(C+-N);Implication,((C>-J)*(-J>C));(C=-J);Equivalence,(C>-J);((C>-J)*(-J>C));Simplification,(N>-J);(C>-J).(N>C);Hypothetical Syllogism
(C=-J);0;Given,(C+-N);0;Given,(N>C);0;Given,((C>-J)*(-J>C));(C=-J);Equivalence,(C>-J);((C>-J)*(-J>C));Simplification,(-N+C);(C+-N);Commutative,(N>-J);(C>-J).(N>C);Hypothetical Syllogism
(C=-J);0;Given,(C+-N);0;Given,(N>C);0;Given,((C>-J)*(-J>C));(C=-J);Equivalence,(C>-J);((C>-J)*(-J>C));Simplification,(-C+-J);(C>-J);Implication,(N>-J);(C>-J).(N>C);Hypothetical Syllogism
(C=-J);0;Given,(C+-N);0;Given,(N>C);0;Given,((C>-J)*(-J>C));(C=-J);Equivalence,(-N+C);(N>C);Implication,(C>-J);((C>-J)*(-J>C));Simplification,(-J>C);((C>-J)*(-J>C));Simplification,(N>-J);(C>-J).(N>C);Hypothetical Syllogism
(C=-J);0;Given,(C+-N);0;Given,(N>C);0;Given,((C>-J)*(-J>C));(C=-J);Equivalence,(C>-J);((C>-J)*(-J>C));Simplification,(-C>-N);(C+-N);Implication,(--N>--C);(-C>-N);Contrapositive,(N>-J);(C>-J).(N>C);Hypothetical Syllogism
(C=-J);0;Given,(C+-N);0;Given,(N>C);0;Given,((C>-J)*(-J>C));(C=-J);Equivalence,(C>-J);((C>-J)*(-J>C));Simplification,(-C>-N);(C+-N);Implication,(-N+C);(C+-N);Commutative,((-J>C)*(C>-J));((C>-J)*(-J>C));Commutative,(-J>C);((-J>C)*(C>-J));Simplification,(N>-J);(C>-J).(N>C);Hypothetical Syllogism
(C=-J);0;Given,(C+-N);0;Given,(N>C);0;Given,((C>-J)*(-J>C));(C=-J);Equivalence,(-C>-N);(N>C);Contrapositive,(-N+C);(N>C);Implication,(-J>C);((C>-J)*(-J>C));Simplification,(-C>--J);(-J>C);Contrapositive,(C+--J);(-C>--J);Implication,(--J+C);(C+--J);Commutative,(C>-J);((C>-J)*(-J>C));Simplification,(--J>-C);(C>-J);Contrapositive,(--J>-N);(--J>-C).(-C>-N);Hypothetical Syllogism,(J>-N);(--J>-N);Double Negation,(--N>-J);(J>-N);Contrapositive,(N>-J);(--N>-J);Double Negation
