(L*K);0;Given,((K*O)>(Q>P));0;Given,O;0;Given,(P>R);0;Given,K;(L*K);Simplification,(K*O);K.O;Conjunction,(Q>P);((K*O)>(Q>P)).(K*O);Modus Ponens,(Q>R);(P>R).(Q>P);Hypothetical Syllogism
(L*K);0;Given,((K*O)>(Q>P));0;Given,O;0;Given,(P>R);0;Given,K;(L*K);Simplification,(O*K);K.O;Conjunction,(K*O);(O*K);Commutative,(Q>P);((K*O)>(Q>P)).(K*O);Modus Ponens,(Q>R);(P>R).(Q>P);Hypothetical Syllogism
(L*K);0;Given,((K*O)>(Q>P));0;Given,O;0;Given,(P>R);0;Given,L;(L*K);Simplification,K;(L*K);Simplification,(K*O);K.O;Conjunction,(Q>P);((K*O)>(Q>P)).(K*O);Modus Ponens,(Q>R);(P>R).(Q>P);Hypothetical Syllogism
(L*K);0;Given,((K*O)>(Q>P));0;Given,O;0;Given,(P>R);0;Given,K;(L*K);Simplification,(K*O);K.O;Conjunction,(Q>P);((K*O)>(Q>P)).(K*O);Modus Ponens,((Q>P)*(P>R));(P>R).(Q>P);Conjunction,(Q>R);(P>R).(Q>P);Hypothetical Syllogism
(L*K);0;Given,((K*O)>(Q>P));0;Given,O;0;Given,(P>R);0;Given,(-P+R);(P>R);Implication,K;(L*K);Simplification,(K*O);K.O;Conjunction,(Q>P);((K*O)>(Q>P)).(K*O);Modus Ponens,(Q>R);(P>R).(Q>P);Hypothetical Syllogism
(L*K);0;Given,((K*O)>(Q>P));0;Given,O;0;Given,(P>R);0;Given,(K*L);(L*K);Commutative,K;(K*L);Simplification,(K*O);K.O;Conjunction,(Q>P);((K*O)>(Q>P)).(K*O);Modus Ponens,(Q>R);(P>R).(Q>P);Hypothetical Syllogism
(L*K);0;Given,((K*O)>(Q>P));0;Given,O;0;Given,(P>R);0;Given,(K>(O>(Q>P)));((K*O)>(Q>P));Exportation,K;(L*K);Simplification,(O>(Q>P));(K>(O>(Q>P))).K;Modus Ponens,(Q>P);(O>(Q>P)).O;Modus Ponens,(Q>R);(P>R).(Q>P);Hypothetical Syllogism
(L*K);0;Given,((K*O)>(Q>P));0;Given,O;0;Given,(P>R);0;Given,K;(L*K);Simplification,L;(L*K);Simplification,(K*O);K.O;Conjunction,(Q>P);((K*O)>(Q>P)).(K*O);Modus Ponens,(Q>R);(P>R).(Q>P);Hypothetical Syllogism
(L*K);0;Given,((K*O)>(Q>P));0;Given,O;0;Given,(P>R);0;Given,K;(L*K);Simplification,(O*K);K.O;Conjunction,(K*O);K.O;Conjunction,(Q>P);((K*O)>(Q>P)).(K*O);Modus Ponens,(-Q+P);(Q>P);Implication,(Q>R);(P>R).(Q>P);Hypothetical Syllogism
(L*K);0;Given,((K*O)>(Q>P));0;Given,O;0;Given,(P>R);0;Given,K;(L*K);Simplification,(K+O);K;Addition,--(K+O);(K+O);Double Negation,(K*O);K.O;Conjunction,(Q>P);((K*O)>(Q>P)).(K*O);Modus Ponens,(Q>R);(P>R).(Q>P);Hypothetical Syllogism
(L*K);0;Given,((K*O)>(Q>P));0;Given,O;0;Given,(P>R);0;Given,((O*K)>(Q>P));((K*O)>(Q>P));Commutative,K;(L*K);Simplification,(K*O);K.O;Conjunction,(O*K);(K*O);Commutative,(Q>P);((O*K)>(Q>P)).(O*K);Modus Ponens,(Q>R);(P>R).(Q>P);Hypothetical Syllogism
(L*K);0;Given,((K*O)>(Q>P));0;Given,O;0;Given,(P>R);0;Given,(-(K*O)+(Q>P));((K*O)>(Q>P));Implication,K;(L*K);Simplification,(K*O);K.O;Conjunction,--(K*O);(K*O);Double Negation,(Q>P);(-(K*O)+(Q>P)).--(K*O);Disjunctive Syllogism,(Q>R);(P>R).(Q>P);Hypothetical Syllogism
