17,24,26,27,8,22
17,24,26,27,7,21,22
17,24,26,27,12,8,22
17,24,26,12,27,8,22
17,24,26,27,12,8,22
17,24,26,6,27,8,22
17,24,12,26,27,8,22
17,24,26,27,5,19,22
17,24,12,26,27,8,22
17,24,6,26,27,8,22
17,24,26,27,11,20,8,22
17,24,12,26,27,11,8,22
17,24,26,12,14,27,8,22
17,24,26,6,27,5,19,22
17,24,6,14,26,27,8,22
17,24,12,26,27,5,19,22
17,24,12,26,27,7,21,22
17,24,12,26,27,7,8,22
17,24,26,27,12,25,8,22
17,24,26,6,14,27,8,22
17,24,6,26,14,27,8,22
17,24,6,26,27,5,19,22
17,24,26,12,27,11,20,8,22
17,24,26,12,14,6,27,8,22
17,24,26,6,3,14,27,8,22
17,24,12,6,3,14,26,27,8,22
17,24,26,6,3,14,12,27,8,22
17,24,26,6,14,27,11,20,8,22
17,24,26,12,1,10,27,11,20,8,22
