28,52,40,41,29,50,47,9
28,52,40,41,50,49,47,9
28,52,40,41,50,29,47,9
28,52,40,41,29,12,50,47,9
28,52,40,41,29,54,50,47,9
28,52,40,41,50,54,49,47,9
28,52,40,41,54,50,49,47,9
28,52,40,41,29,50,12,47,9
28,52,40,41,54,50,29,47,9
28,52,40,41,29,50,24,47,9
28,52,40,41,11,50,49,47,9
28,52,40,41,29,20,50,47,9
28,52,40,41,19,50,49,47,9
28,52,40,41,29,12,50,47,9
28,52,40,41,29,24,50,47,9
28,52,40,41,18,50,49,47,9
28,52,40,41,20,50,49,47,9
28,52,40,41,50,25,49,47,9
28,52,40,41,50,49,47,10,9
28,52,40,41,20,50,29,47,9
28,52,40,41,25,50,49,47,9
28,52,40,41,29,24,50,47,9
28,52,40,41,4,29,50,47,9
28,52,40,41,50,11,49,47,9
28,52,40,41,50,29,24,47,9
28,52,40,41,50,49,11,47,9
28,52,40,41,50,49,47,30,9
28,52,40,41,50,49,47,30,9
28,52,40,41,5,50,49,47,9
28,52,40,41,11,18,50,49,47,9
28,52,40,41,50,11,18,49,47,9
28,52,40,41,18,50,49,11,47,9
28,52,40,41,50,18,49,11,47,9
28,52,40,41,50,25,49,19,47,9
28,52,40,41,11,50,18,49,47,9
28,52,40,41,18,11,50,49,47,9
28,52,40,41,11,18,50,49,47,9
28,52,40,41,11,29,54,50,47,9
28,52,40,41,18,29,12,50,47,9
28,52,40,41,19,25,50,49,47,9
28,52,40,41,25,19,50,49,47,9
28,52,40,41,25,50,49,19,47,9
28,52,40,41,29,12,20,50,47,9
28,52,40,41,29,12,50,43,47,9
28,52,40,41,29,20,50,12,47,9
28,52,40,41,29,20,50,24,47,9
28,52,40,41,29,24,20,50,47,9
28,52,40,41,29,50,12,43,47,9
28,52,40,41,29,50,34,12,47,9
28,52,40,41,50,11,18,49,47,9
28,52,40,41,50,18,49,47,30,9
28,52,40,41,50,19,25,49,47,9
28,52,40,41,50,25,19,49,47,9
28,52,40,41,50,29,12,43,47,9
28,52,40,41,50,54,29,12,47,9
28,52,40,41,54,50,29,12,47,9
28,52,40,41,54,50,11,18,49,47,9
28,52,40,41,54,50,33,29,32,47,9
28,52,40,41,11,18,54,50,49,47,9
28,52,40,41,20,18,50,49,11,47,9
28,52,40,41,29,12,43,20,50,47,9
28,52,40,41,50,18,44,25,49,47,9
28,52,40,41,50,18,49,11,47,30,9
28,52,40,41,11,18,3,1,50,49,47,9
28,52,40,41,29,50,24,15,36,35,47,9
28,52,40,41,11,18,4,6,29,2,50,47,9
28,52,40,41,18,11,20,50,44,49,39,47,9
28,52,40,41,29,12,11,18,54,50,49,47,9
28,52,40,41,29,12,34,17,23,26,50,47,9
28,52,40,41,29,12,43,50,22,24,18,47,9
